mysql> \. Update.sql
Query OK, 284 rows affected (0.23 sec)

Query OK, 834 rows affected (0.06 sec)

Query OK, 1 row affected (0.04 sec)
Rows matched: 1  Changed: 1  Warnings: 0

Query OK, 27 rows affected (0.03 sec)
Rows matched: 27  Changed: 27  Warnings: 0

Query OK, 23 rows affected (0.07 sec)
Records: 23  Duplicates: 0  Warnings: 0

Query OK, 1 row affected (0.06 sec)
Records: 1  Duplicates: 0  Warnings: 0

mysql> \. selectSynthaticData.sql
ERROR: 
Failed to open file 'selectSynthaticData.sql', error: 2
mysql> \. selectSyntheticData.sql
+-----------------+-------+-----------------+-----------+--------------+--------------+----------------+
| employee_number | name  | location        | ssn       | home_address | phone_number | designation    |
+-----------------+-------+-----------------+-----------+--------------+--------------+----------------+
|               0 | jpqzf | odjeoztnmvcbloe | 175017967 | tmxha        |     46471345 | Radiology      |
|               1 | kwwqt | faczwrfonaiwhgh | 110002023 | oelcl        |     62654113 | Administration |
|               2 | cnrbm | bnesyrlaqnwaled | 976398808 | mwgsj        |     56793073 | Administration |
|               3 | eswwa | tsfezrxasrpalen | 300310663 | gntjh        |     19909832 | Doctor         |
|               4 | tjtkz | oenfrjghihifbyo | 897824620 | ycdsu        |     39116338 | Nurse          |
|               5 | iqvqa | yifxwefazonpygk |  82257933 | vgzzi        |     33832350 | Radiology      |
|               6 | tlxyp | wloigzfdqhncwhm | 630157518 | kycdy        |     34800709 | Nurse          |
|               7 | apmhh | miniortsfdczxmb | 830822437 | cslba        |     86099467 | Radiology      |
|               8 | nrrvq | fimhtvfzsbrsysm | 271372058 | rrywj        |     64288824 | Nurse          |
|               9 | xngqk | vaqaththfdedgcu | 563889900 | qphmp        |     20909652 | Nurse          |
|              10 | xhbxh | nczkyydyaxwbvqh | 203827431 | kfuvi        |     98121495 | Doctor         |
|              11 | kxlep | drblxziudhlkokh | 476318865 | uhigv        |     37764428 | Nurse          |
|              12 | subqs | jbfagmrtobmeupj | 233283609 | fzbsb        |     41529698 | Doctor         |
|              13 | nihua | wwcboghzdfaxlul | 894292705 | rjaxu        |     99833433 | Administration |
|              14 | pzudz | zwuzgtjbbzvwoxd | 371306717 | ijaha        |     41104746 | Administration |
|              15 | lodvh | oxfqpqourweggsr | 570149661 | atxek        |     98251016 | Nurse          |
|              16 | lktbs | flpxmaabtftgqdn | 956004173 | smqzc        |     14986842 | Doctor         |
|              17 | igrcr | snrbstwuidkzkmy | 465852460 | vfdqr        |     11543320 | Doctor         |
|              18 | mbbku | zvzlcwflqyegifo | 586940942 | btvuj        |     23783377 | Administration |
|              19 | waams | sktpasqzxenfqih |  26243919 | vmvnn        |     34361632 | Doctor         |
|              20 | rkjgy | csyzabwopkhcryb | 531537459 | okglk        |     36280429 | Radiology      |
|              21 | fcdhg | fbalxymcpnbogqj | 705877753 | iggpx        |     97506631 | Doctor         |
|              22 | ucews | zsoeouhhehatigs | 990655169 | kqbtd        |     62120146 | Administration |
|              23 | xnryz | ltfghnkeyesmipa | 165084087 | wpgeh        |     56252261 | Administration |
|              24 | xunnh | bydtxefobrtcbom | 174090799 | jpqea        |     90642477 | Nurse          |
|              25 | poigm | tbftapdsxkjsxof | 831462291 | nraej        |     45029191 | Nurse          |
|              26 | garxi | ompywsakdbbdczg | 280337377 | jngqe        |     95366123 | Nurse          |
|              27 | qheht | zanotardtieryua |  24650869 | eahli        |     81377791 | Doctor         |
|              28 | eljuc | wuypgnkootgpjpb | 422665040 | fjjgq        |     16284785 | Doctor         |
|              29 | uqccz | xtmzdiyjpkzavbn | 464606896 | xjugb        |     49494008 | Administration |
|              30 | gnlzt | bmtappcqxxthmbu | 207191275 | fjpjl        |     87938751 | Doctor         |
|              31 | pjoaj | uffswmcsxjhvayx | 856018445 | rzgpf        |     86317046 | Administration |
|              32 | vkiwo | onflpeqwrruxjwh | 959604727 | wrtsx        |     74929648 | Administration |
|              33 | wtyks | buvpnerauahhoie | 929228557 | qtror        |     27848586 | Nurse          |
|              34 | ftmrr | aqikdioimpehgmn | 430466881 | nndav        |     86515233 | Doctor         |
|              35 | kaxxg | crqymuuthhudnlt | 684171764 | rlypm        |     85626839 | Radiology      |
|              36 | vdhbu | prnwpbzepcvjxoy | 741812676 | tjtbm        |     54937833 | Radiology      |
|              37 | ozttg | jplvqvfdqqqcrgo | 433818149 | eejji        |     70870600 | Radiology      |
|              38 | wijko | yovbtyghovfifiz | 706599111 | xvgwv        |     61300935 | Administration |
|              39 | tyhvu | xkeeiaikeaouims | 543058848 | xbyrj        |     21647817 | Nurse          |
|              40 | hpauy | brbksnooweeoaed | 182027869 | xhlbg        |     17493334 | Nurse          |
|              41 | pndxv | ldlxwomfjvhmczl | 893166305 | xiwyd        |     12398719 | Doctor         |
|              42 | snizu | dwzsegkgmgpjkwx | 254987586 | krjzm        |     31923303 | Doctor         |
|              43 | gywtk | uururvdxqqwouej | 159977571 | ufvcb        |     13827388 | Radiology      |
|              44 | ikntx | khgeaafsvzkdygs | 762147325 | mgdth        |     65802655 | Radiology      |
|              45 | ioowq | rjtrupqseixwzdc | 427111375 | pijha        |     49110902 | Administration |
|              46 | jrxph | zcrraruswuusmlq | 993038257 | redch        |     58517068 | Doctor         |
|              47 | gftie | ghhzolxznlkslpx | 796804120 | hkpza        |     75560245 | Doctor         |
|              48 | badxm | jgdmicibigptpnv | 259043895 | oozga        |     99808097 | Doctor         |
|              49 | eercf | rbkoxpwdzpktymv | 749075932 | cduzb        |     14607222 | Doctor         |
|              50 | ckali | aefliudhbwsaarx |  98641197 | uhibk        |     78115255 | Doctor         |
|              51 | qlejt | nmxdopqwryjusei | 552484823 | ikfdt        |     24370318 | Administration |
|              52 | lvlyc | jtluptkvfyrvjvi | 766590369 | touxo        |     81715845 | Administration |
|              53 | lemfx | ftdjaqbazsynhqf | 297606849 | yxxto        |     70050529 | Nurse          |
|              54 | ejvoh | mameheganyzcfci | 565520711 | fhhbz        |     31469360 | Nurse          |
|              55 | uesev | swiaxmuruynrjtn | 910597762 | nwmrx        |     31814557 | Doctor         |
|              56 | tgrhm | gifzlzzoyresfyo |  32928970 | jlhhd        |     48947607 | Radiology      |
|              57 | ypimx | zzdtcrqsxbcuklp | 388943053 | yyygg        |     89036563 | Radiology      |
|              58 | mhzbe | suhtarodbbilccw | 134563845 | cbvhm        |     13784678 | Radiology      |
|              59 | bvspr | mmcjkfwncvzgonb | 132568040 | zqngh        |     30190243 | Administration |
