mysql> \. query.sql
+-------+------------+---------------+
| name  | contact_no | date_of_visit |
+-------+------------+---------------+
| ushef |   49413698 | 2013-10-25    |
| umxsn |   54873596 | 2013-10-01    |
| umxsn |   54873596 | 2013-10-21    |
| owqae |   17737283 | 2013-09-05    |
| owqae |   17737283 | 2013-10-10    |
| seogd |   58526333 | 2013-09-17    |
| seogd |   58526333 | 2013-09-18    |
| mttpt |   66560546 | 2013-09-20    |
| eqhvt |   21274743 | 2013-09-14    |
| wtrly |   98626299 | 2013-09-21    |
| xowie |   28977728 | 2013-09-15    |
| xowie |   28977728 | 2013-10-22    |
| crbbe |   36605775 | 2013-09-24    |
| crbbe |   36605775 | 2013-10-09    |
| crbbe |   36605775 | 2013-10-20    |
| zxhxp |   63991671 | 2013-09-18    |
| zxhxp |   63991671 | 2013-09-28    |
| wvbfr |   68288615 | 2013-09-04    |
| wvbfr |   68288615 | 2013-09-15    |
| wvbfr |   68288615 | 2013-09-24    |
| apvux |   27067689 | 2013-10-08    |
| iokcs |   99314526 | 2013-10-17    |
| bymua |   27629581 | 2013-10-24    |
| pildw |   80804906 | 2013-10-19    |
| earcn |   13345374 | 2013-09-07    |
| earcn |   13345374 | 2013-10-29    |
| aufui |   25726988 | 2013-10-11    |
| dmcmb |   76568720 | 2013-09-13    |
| dmcmb |   76568720 | 2013-09-17    |
| cojgu |   32917414 | 2013-10-05    |
| cojgu |   32917414 | 2013-10-23    |
| jwyum |   96392209 | 2013-09-04    |
| jwyum |   96392209 | 2013-09-06    |
| pmzdh |   34662947 | 2013-10-02    |
| mkvcl |   29944971 | 2013-09-08    |
| mkvcl |   29944971 | 2013-09-23    |
| vxggo |   43500791 | 2013-10-16    |
| vxggo |   43500791 | 2013-10-29    |
| ihdvb |   36349978 | 2013-09-30    |
| ihdvb |   36349978 | 2013-10-11    |
| vobbj |   85506098 | 2013-09-25    |
| klscl |   89868132 | 2013-10-10    |
| mguan |   24484011 | 2013-10-06    |
| cvewr |   66921539 | 2013-09-28    |
| swwus |   31484502 | 2013-09-05    |
| nzbby |   85748204 | 2013-09-21    |
| nzbby |   85748204 | 2013-10-08    |
| laedn |   57000750 | 2013-10-03    |
| uvssk |   66848670 | 2013-09-17    |
| uvssk |   66848670 | 2013-10-02    |
| sjmrf |   46531854 | 2013-09-15    |
| qqfmm |   22349029 | 2013-09-21    |
